Beginn	BE	Cap	B-BEGIN
EU	PAR	Cap	I-PARAGRAPH
reagiert	PAR	NoCap	I-PARAGRAPH
.	DOT	NoCap	B-DOT
Wir	PAR	Cap	B-PARAGRAPH
haben	PAR	NoCap	I-PARAGRAPH
dieGrenzen	PAR	NoCap	I-PARAGRAPH
Europas	PAR	Cap	I-PARAGRAPH
dafür	PAR	NoCap	I-PARAGRAPH
geöffnet	PAR	NoCap	I-PARAGRAPH
.	DOT	NoCap	B-DOT
Das	PAR	Cap	B-PARAGRAPH
ist	PAR	NoCap	I-PARAGRAPH
ein	PAR	NoCap	I-PARAGRAPH
wichtiges	PAR	NoCap	I-PARAGRAPH
Signal	PAR	Cap	I-PARAGRAPH
.	DOT	NoCap	B-DOT
Man	PAR	Cap	B-PARAGRAPH
schaut	PAR	NoCap	I-PARAGRAPH
aus	PAR	NoCap	I-PARAGRAPH
diesem	PAR	NoCap	I-PARAGRAPH
Land	PAR	Cap	I-PARAGRAPH
heraus	PAR	NoCap	I-PARAGRAPH
sehr	PAR	NoCap	I-PARAGRAPH
stark	PAR	NoCap	I-PARAGRAPH
auf	PAR	NoCap	I-PARAGRAPH
uns	PAR	NoCap	I-PARAGRAPH
–	PAR	NoCap	I-PARAGRAPH
Kollege	PAR	Cap	I-PARAGRAPH
Manfred	NAME	Cap	B-NAME
Grund	NAME	Cap	I-NAME
weiß	PAR	NoCap	B-PARAGRAPH
davon	PAR	NoCap	I-PARAGRAPH
zu	PAR	NoCap	I-PARAGRAPH
berichten	PAR	NoCap	I-PARAGRAPH
–	PAR	NoCap	I-PARAGRAPH
,	DOT	NoCap	B-DOT
und	PAR	NoCap	B-PARAGRAPH
zwar	PAR	NoCap	I-PARAGRAPH
nicht	PAR	NoCap	I-PARAGRAPH
nur	PAR	NoCap	I-PARAGRAPH
auf	PAR	NoCap	I-PARAGRAPH
uns	PAR	NoCap	I-PARAGRAPH
als	PAR	NoCap	I-PARAGRAPH
Europäische	PAR	Cap	I-PARAGRAPH
Union	PAR	Cap	I-PARAGRAPH
,	DOT	NoCap	B-DOT
sondern	PAR	NoCap	B-PARAGRAPH
insbesondere	PAR	NoCap	I-PARAGRAPH
auch	PAR	NoCap	I-PARAGRAPH
auf	PAR	NoCap	I-PARAGRAPH
Deutschland	PAR	Cap	I-PARAGRAPH
.	DOT	NoCap	B-DOT
Dieses	PAR	Cap	B-PARAGRAPH
Land	PAR	Cap	I-PARAGRAPH
hat	PAR	NoCap	I-PARAGRAPH
weiterhin	PAR	NoCap	I-PARAGRAPH
unsere	PAR	NoCap	I-PARAGRAPH
Unterstützung	PAR	Cap	I-PARAGRAPH
verdient	PAR	NoCap	I-PARAGRAPH
,	DOT	NoCap	B-DOT
wie	PAR	NoCap	B-PARAGRAPH
auch	PAR	NoCap	I-PARAGRAPH
alle	PAR	NoCap	I-PARAGRAPH
anderen	PAR	NoCap	I-PARAGRAPH
Länder	PAR	Cap	I-PARAGRAPH
,	DOT	NoCap	B-DOT
die	PAR	NoCap	B-PARAGRAPH
sich	PAR	NoCap	I-PARAGRAPH
aufmachen	PAR	NoCap	I-PARAGRAPH
,	DOT	NoCap	B-DOT
die	PAR	NoCap	B-PARAGRAPH
Standards	PAR	Cap	I-PARAGRAPH
der	PAR	NoCap	I-PARAGRAPH
Europäischen	PAR	Cap	I-PARAGRAPH
Union	PAR	Cap	I-PARAGRAPH
mehr	PAR	NoCap	I-PARAGRAPH
und	PAR	NoCap	I-PARAGRAPH
mehr	PAR	NoCap	I-PARAGRAPH
umzusetzen	PAR	NoCap	I-PARAGRAPH
.	DOT	NoCap	B-DOT

Deswegen	PAR	Cap	B-PARAGRAPH
noch	PAR	NoCap	I-PARAGRAPH
eine	PAR	NoCap	I-PARAGRAPH
letzte	PAR	NoCap	I-PARAGRAPH
Anmerkung	PAR	Cap	I-PARAGRAPH
zur	PAR	NoCap	I-PARAGRAPH
Ukraine	PAR	Cap	I-PARAGRAPH
und	PAR	NoCap	I-PARAGRAPH
ein	PAR	NoCap	I-PARAGRAPH
kurzer	PAR	NoCap	I-PARAGRAPH
Satz	PAR	Cap	I-PARAGRAPH
zu	PAR	NoCap	I-PARAGRAPH
Mazedonien	PAR	Cap	I-PARAGRAPH
.	DOT	NoCap	B-DOT
Gerade	PAR	Cap	B-PARAGRAPH
die	PAR	NoCap	I-PARAGRAPH
Ukraine	PAR	Cap	I-PARAGRAPH
sollte	PAR	NoCap	I-PARAGRAPH
weiter	PAR	NoCap	I-PARAGRAPH
auf	PAR	NoCap	I-PARAGRAPH
unserer	PAR	NoCap	I-PARAGRAPH
Agenda	PAR	Cap	I-PARAGRAPH
bleiben	PAR	NoCap	I-PARAGRAPH
.	DOT	NoCap	B-DOT
Die	PAR	Cap	B-PARAGRAPH
dortigen	PAR	NoCap	I-PARAGRAPH
demokratischen	PAR	NoCap	I-PARAGRAPH
Kräfte	PAR	Cap	I-PARAGRAPH
,	DOT	NoCap	B-DOT
die	PAR	NoCap	B-PARAGRAPH
ein	PAR	NoCap	I-PARAGRAPH
anderes	PAR	NoCap	I-PARAGRAPH
Land	PAR	Cap	I-PARAGRAPH
in	PAR	NoCap	I-PARAGRAPH
unserem	PAR	NoCap	I-PARAGRAPH
Sinne	PAR	Cap	I-PARAGRAPH
schaffen	PAR	NoCap	I-PARAGRAPH
wollen	PAR	NoCap	I-PARAGRAPH
,	DOT	NoCap	B-DOT
haben	PAR	NoCap	B-PARAGRAPH
alle	PAR	NoCap	I-PARAGRAPH
Unterstützung	PAR	Cap	I-PARAGRAPH
verdient	PAR	NoCap	I-PARAGRAPH
,	DOT	NoCap	B-DOT

(	BBRACKET	NoCap	B-BBRACKET
Beifall	MOOD	Cap	B-MOOD
bei	PAR	NoCap	B-PARAGRAPH
Abgeordneten	PAR	Cap	I-PARAGRAPH
der	PAR	NoCap	I-PARAGRAPH
CDU/CSU	FRACT	Cap	B-FRACTION
,	DOT	NoCap	B-DOT
der	PAR	NoCap	B-PARAGRAPH
SPD	FRACT	Cap	B-FRACTION
und	PAR	NoCap	B-PARAGRAPH
des	PAR	NoCap	I-PARAGRAPH
BÜNDNISSES	PAR	Cap	I-PARAGRAPH
90/DIE	PAR	NoCap	I-PARAGRAPH
GRÜNEN	PAR	Cap	I-PARAGRAPH
)	EBRACKET	NoCap	B-EBRACKET

und	PAR	NoCap	B-PARAGRAPH
sie	PAR	NoCap	I-PARAGRAPH
sehen	PAR	NoCap	I-PARAGRAPH
sich	PAR	NoCap	I-PARAGRAPH
dabei	PAR	NoCap	I-PARAGRAPH
schwierigen	PAR	NoCap	I-PARAGRAPH
Voraussetzungen	PAR	Cap	I-PARAGRAPH
gegenüber	PAR	NoCap	I-PARAGRAPH
,	DOT	NoCap	B-DOT
vor	PAR	NoCap	B-PARAGRAPH
allem	PAR	NoCap	I-PARAGRAPH
die	PAR	NoCap	I-PARAGRAPH
NGOs	PAR	Cap	I-PARAGRAPH
und	PAR	NoCap	I-PARAGRAPH
die	PAR	NoCap	I-PARAGRAPH
Bürgerbewegungen	PAR	Cap	I-PARAGRAPH
.	DOT	NoCap	B-DOT

Last	PAR	Cap	B-PARAGRAPH
but	PAR	NoCap	I-PARAGRAPH
not	PAR	NoCap	I-PARAGRAPH
least	PAR	NoCap	I-PARAGRAPH
Mazedonien	PAR	Cap	I-PARAGRAPH
:	COL	NoCap	B-COLON
bei	PAR	NoCap	B-PARAGRAPH
Lichte	PAR	Cap	I-PARAGRAPH
besehen	PAR	NoCap	I-PARAGRAPH
leider	PAR	NoCap	I-PARAGRAPH
ein	PAR	NoCap	I-PARAGRAPH
Trauerspiel	PAR	Cap	I-PARAGRAPH
.	DOT	NoCap	B-DOT
Wir	PAR	Cap	B-PARAGRAPH
könnten	PAR	NoCap	I-PARAGRAPH
mit	PAR	NoCap	I-PARAGRAPH
Mazedonien	PAR	Cap	I-PARAGRAPH
schonlängst	PAR	NoCap	I-PARAGRAPH
Beitrittsverhandlungen	PAR	Cap	I-PARAGRAPH
führen	PAR	NoCap	I-PARAGRAPH
,	DOT	NoCap	B-DOT
tun	PAR	NoCap	B-PARAGRAPH
es	PAR	NoCap	I-PARAGRAPH
aber	PAR	NoCap	I-PARAGRAPH
nicht	PAR	NoCap	I-PARAGRAPH
,	DOT	NoCap	B-DOT
weil	PAR	NoCap	B-PARAGRAPH
Griechenland	PAR	Cap	I-PARAGRAPH
diesen	PAR	NoCap	I-PARAGRAPH
möglichen	PAR	NoCap	I-PARAGRAPH
Fortschritt	PAR	Cap	I-PARAGRAPH
mit	PAR	NoCap	I-PARAGRAPH
einem	PAR	NoCap	I-PARAGRAPH
bizarren	PAR	NoCap	I-PARAGRAPH
,	DOT	NoCap	B-DOT
absurden	PAR	NoCap	B-PARAGRAPH
Namensstreit	PAR	Cap	I-PARAGRAPH
blockiert	PAR	NoCap	I-PARAGRAPH
.	DOT	NoCap	B-DOT
Nein	PAR	Cap	B-PARAGRAPH
,	DOT	NoCap	B-DOT
esmuss	PAR	NoCap	B-PARAGRAPH
Schluss	PAR	Cap	I-PARAGRAPH
damit	PAR	NoCap	I-PARAGRAPH
sein	PAR	NoCap	I-PARAGRAPH
,	DOT	NoCap	B-DOT
dass	PAR	NoCap	B-PARAGRAPH
aus	PAR	NoCap	I-PARAGRAPH
zwischenstaatlichen	PAR	NoCap	I-PARAGRAPH
Streitigkeiten	PAR	Cap	I-PARAGRAPH
ein	PAR	NoCap	I-PARAGRAPH
Faustpfand	PAR	Cap	I-PARAGRAPH
erhoben	PAR	NoCap	I-PARAGRAPH
wird	PAR	NoCap	I-PARAGRAPH
,	DOT	NoCap	B-DOT
dass	PAR	NoCap	B-PARAGRAPH
andere	PAR	NoCap	I-PARAGRAPH
Länder	PAR	Cap	I-PARAGRAPH
geradezu	PAR	NoCap	I-PARAGRAPH
erpresst	PAR	NoCap	I-PARAGRAPH
werden	PAR	NoCap	I-PARAGRAPH
.	DOT	NoCap	B-DOT
Deswegen	PAR	Cap	B-PARAGRAPH
wünsche	PAR	NoCap	I-PARAGRAPH
ich	PAR	NoCap	I-PARAGRAPH
mir	PAR	NoCap	I-PARAGRAPH
,	DOT	NoCap	B-DOT
dass	PAR	NoCap	B-PARAGRAPH
es	PAR	NoCap	I-PARAGRAPH
auch	PAR	NoCap	I-PARAGRAPH
hier	PAR	NoCap	I-PARAGRAPH
endlich	PAR	NoCap	I-PARAGRAPH
vorangeht	PAR	NoCap	I-PARAGRAPH
und	PAR	NoCap	I-PARAGRAPH
dass	PAR	NoCap	I-PARAGRAPH
wir	PAR	NoCap	I-PARAGRAPH
ein	PAR	NoCap	I-PARAGRAPH
deutliches	PAR	NoCap	I-PARAGRAPH
Signal	PAR	Cap	I-PARAGRAPH
setzen	PAR	NoCap	I-PARAGRAPH
auch	PAR	NoCap	I-PARAGRAPH
gegenüber	PAR	NoCap	I-PARAGRAPH
einem	PAR	NoCap	I-PARAGRAPH
Land	PAR	Cap	I-PARAGRAPH
,	DOT	NoCap	B-DOT
das	PAR	NoCap	B-PARAGRAPH
gegenwärtig	PAR	NoCap	I-PARAGRAPH
die	PAR	NoCap	I-PARAGRAPH
Ratspräsidentschaft	PAR	Cap	I-PARAGRAPH
innehat	PAR	NoCap	I-PARAGRAPH
.	DOT	NoCap	B-DOT

Vielen	PAR	Cap	B-PARAGRAPH
Dank	PAR	Cap	I-PARAGRAPH
.	DOT	NoCap	B-DOT

(	BBRACKET	NoCap	B-BBRACKET
Beifall	MOOD	Cap	B-MOOD
bei	PAR	NoCap	B-PARAGRAPH
der	PAR	NoCap	I-PARAGRAPH
CDU/CSU	FRACT	Cap	B-FRACTION
und	PAR	NoCap	B-PARAGRAPH
der	PAR	NoCap	I-PARAGRAPH
SPD	FRACT	Cap	B-FRACTION
sowie	PAR	NoCap	B-PARAGRAPH
bei	PAR	NoCap	I-PARAGRAPH
Abgeordneten	PAR	Cap	I-PARAGRAPH
des	PAR	NoCap	I-PARAGRAPH
BÜNDNISSES	PAR	Cap	I-PARAGRAPH
90/DIE	PAR	NoCap	I-PARAGRAPH
GRÜNEN	PAR	Cap	I-PARAGRAPH
)	EBRACKET	NoCap	B-EBRACKET

Präsident	PRE	Cap	B-PRESIDENT
Dr.	TITLE	Cap	B-TITLE
Norbert$Lammert	NAME	Cap	B-NAME
:	COL	NoCap	B-COLON

Ich	PAR	Cap	B-PARAGRAPH
erteile	PAR	NoCap	I-PARAGRAPH
das	PAR	NoCap	I-PARAGRAPH
Wort	PAR	Cap	I-PARAGRAPH
dem	PAR	NoCap	I-PARAGRAPH
Kollegen	PAR	Cap	I-PARAGRAPH
Manuel	NAME	Cap	B-NAME
Sarrazin	NAME	Cap	I-NAME
,	DOT	NoCap	B-DOT

Fraktion	PAR	Cap	B-PARAGRAPH
Bündnis	PAR	Cap	I-PARAGRAPH
90/Die	PAR	NoCap	I-PARAGRAPH
Grünen	PAR	Cap	I-PARAGRAPH
.	DOT	NoCap	B-DOT

Manuel	NAME	Cap	B-NAME
Sarrazin	NAME	Cap	I-NAME
(	BBRACKET	NoCap	B-BBRACKET
BÜNDNIS	FRACT	Cap	B-FRACTION
90/DIE	FRACT	Cap	I-FRACTION
GRÜNEN	FRACT	Cap	I-FRACTION
)	EBRACKET	NoCap	B-EBRACKET
:	COL	NoCap	B-COLON

Sehr	PAR	Cap	B-PARAGRAPH
verehrter	PAR	NoCap	I-PARAGRAPH
Herr	TITLE	Cap	B-TITLE
Präsident	NAME	Cap	B-NAME
!	DOT	NoCap	B-DOT
Liebe	PAR	Cap	B-PARAGRAPH
Kolleginnen	PAR	Cap	I-PARAGRAPH
und	PAR	NoCap	I-PARAGRAPH

Kollegen	PAR	Cap	B-PARAGRAPH
!	DOT	NoCap	B-DOT
Verehrter	PAR	Cap	B-PARAGRAPH
Herr	TITLE	Cap	B-TITLE
Kollege	NAME	Cap	B-NAME
Krichbaum	NAME	Cap	I-NAME
,	DOT	NoCap	B-DOT
ich	PAR	NoCap	B-PARAGRAPH
stelle	PAR	NoCap	I-PARAGRAPH
nicht	PAR	NoCap	I-PARAGRAPH
in	PAR	NoCap	I-PARAGRAPH
Abrede	PAR	Cap	I-PARAGRAPH
,	DOT	NoCap	B-DOT
dass	PAR	NoCap	B-PARAGRAPH
es	PAR	NoCap	I-PARAGRAPH
gewisse	PAR	NoCap	I-PARAGRAPH
Zeichen	PAR	Cap	I-PARAGRAPH
der	PAR	NoCap	I-PARAGRAPH
Erholung	PAR	Cap	I-PARAGRAPH
gibt	PAR	NoCap	I-PARAGRAPH
.	DOT	NoCap	B-DOT
Die	PAR	Cap	B-PARAGRAPH
Auktionen	PAR	Cap	I-PARAGRAPH
von	PAR	NoCap	I-PARAGRAPH
Irland	PAR	Cap	I-PARAGRAPH
und	PAR	NoCap	I-PARAGRAPH
Portugal	PAR	Cap	I-PARAGRAPH
in	PAR	NoCap	I-PARAGRAPH
der	PAR	NoCap	I-PARAGRAPH
letzten	PAR	NoCap	I-PARAGRAPH
Woche	PAR	Cap	I-PARAGRAPH
waren	PAR	NoCap	I-PARAGRAPH
sehr	PAR	NoCap	I-PARAGRAPH
erfolgreich	PAR	NoCap	I-PARAGRAPH
.	DOT	NoCap	B-DOT
Die	PAR	Cap	B-PARAGRAPH
Entwicklung	PAR	Cap	I-PARAGRAPH
derArbeitslosenzahlen	PAR	NoCap	I-PARAGRAPH
über	PAR	NoCap	I-PARAGRAPH
das	PAR	NoCap	I-PARAGRAPH
letzte	PAR	NoCap	I-PARAGRAPH
Jahr	TIME	Cap	B-TIME
zum	PAR	NoCap	B-PARAGRAPH
Teil	PAR	Cap	I-PARAGRAPH
laut	PAR	NoCap	I-PARAGRAPH
Eurostat	PAR	Cap	I-PARAGRAPH
auch	PAR	NoCap	I-PARAGRAPH
:	COL	NoCap	B-COLON
in	PAR	NoCap	B-PARAGRAPH
Irland	PAR	Cap	I-PARAGRAPH
minus	PAR	NoCap	I-PARAGRAPH
2	NUM	NoCap	B-NUMBER
Prozent	PAR	Cap	B-PARAGRAPH
,	DOT	NoCap	B-DOT
in	PAR	NoCap	B-PARAGRAPH
Lettland	PAR	Cap	I-PARAGRAPH
minus	PAR	NoCap	I-PARAGRAPH
2	NUM	NoCap	B-NUMBER
Prozent	PAR	Cap	B-PARAGRAPH
,	DOT	NoCap	B-DOT
in	PAR	NoCap	B-PARAGRAPH
Portugal	PAR	Cap	I-PARAGRAPH
minus	PAR	NoCap	I-PARAGRAPH
1	NUM	NoCap	B-NUMBER
,	DOT	NoCap	B-DOT
5	NUM	NoCap	B-NUMBER
Prozent	PAR	Cap	B-PARAGRAPH
,	DOT	NoCap	B-DOT
in	PAR	NoCap	B-PARAGRAPH
Ungarn	PAR	Cap	I-PARAGRAPH
,	DOT	NoCap	B-DOT
auch	PAR	NoCap	B-PARAGRAPH
ein	PAR	NoCap	I-PARAGRAPH
Krisenstaat	PAR	Cap	I-PARAGRAPH
,	DOT	NoCap	B-DOT
minus	PAR	NoCap	B-PARAGRAPH
1	NUM	NoCap	B-NUMBER
,	DOT	NoCap	B-DOT
5	NUM	NoCap	B-NUMBER
Prozent	PAR	Cap	B-PARAGRAPH
.	DOT	NoCap	B-DOT
Aber	PAR	Cap	B-PARAGRAPH
wir	PAR	NoCap	I-PARAGRAPH
müssen	PAR	NoCap	I-PARAGRAPH
doch	PAR	NoCap	I-PARAGRAPH
auch	PAR	NoCap	I-PARAGRAPH
sehen	PAR	NoCap	I-PARAGRAPH
,	DOT	NoCap	B-DOT
dass	PAR	NoCap	B-PARAGRAPH
diese	PAR	NoCap	I-PARAGRAPH
Entwicklung	PAR	Cap	I-PARAGRAPH
der	PAR	NoCap	I-PARAGRAPH
Arbeitslosenzahlen	PAR	Cap	I-PARAGRAPH
immer	PAR	NoCap	I-PARAGRAPH
noch	PAR	NoCap	I-PARAGRAPH
auf	PAR	NoCap	I-PARAGRAPH
einem	PAR	NoCap	I-PARAGRAPH
unglaublich	PAR	NoCap	I-PARAGRAPH
hohen	PAR	NoCap	I-PARAGRAPH
Niveau	PAR	Cap	I-PARAGRAPH
stattfindet	PAR	NoCap	I-PARAGRAPH
.	DOT	NoCap	B-DOT
Deswegen	PAR	Cap	B-PARAGRAPH
muss	PAR	NoCap	I-PARAGRAPH
uns	PAR	NoCap	I-PARAGRAPH
klar	PAR	NoCap	I-PARAGRAPH
sein	PAR	NoCap	I-PARAGRAPH
,	DOT	NoCap	B-DOT
dass	PAR	NoCap	B-PARAGRAPH
es	PAR	NoCap	I-PARAGRAPH
im	PAR	NoCap	I-PARAGRAPH
Jahr	TIME	Cap	B-TIME
2014	NUM	NoCap	B-NUMBER
wichtig	PAR	NoCap	B-PARAGRAPH
ist	PAR	NoCap	I-PARAGRAPH
,	DOT	NoCap	B-DOT
diese	PAR	NoCap	B-PARAGRAPH
Entwicklung	PAR	Cap	I-PARAGRAPH
nicht	PAR	NoCap	I-PARAGRAPH
nur	PAR	NoCap	I-PARAGRAPH
zu	PAR	NoCap	I-PARAGRAPH
beschreiben	PAR	NoCap	I-PARAGRAPH
,	DOT	NoCap	B-DOT
sondern	PAR	NoCap	B-PARAGRAPH
auch	PAR	NoCap	I-PARAGRAPH
zu	PAR	NoCap	I-PARAGRAPH
handeln	PAR	NoCap	I-PARAGRAPH
.	DOT	NoCap	B-DOT

Das	PAR	Cap	B-PARAGRAPH
Arbeitsprogramm	PAR	Cap	I-PARAGRAPH
der	PAR	NoCap	I-PARAGRAPH
Kommission	PAR	Cap	I-PARAGRAPH
,	DOT	NoCap	B-DOT
das	PAR	NoCap	B-PARAGRAPH
ja	PAR	NoCap	I-PARAGRAPH
schon	PAR	NoCap	I-PARAGRAPH
im	PAR	NoCap	I-PARAGRAPH
Herbst	PAR	Cap	I-PARAGRAPH
veröffentlicht	PAR	NoCap	I-PARAGRAPH
wurde	PAR	NoCap	I-PARAGRAPH
,	DOT	NoCap	B-DOT
hat	PAR	NoCap	B-PARAGRAPH
das	PAR	NoCap	I-PARAGRAPH
meiner	PAR	NoCap	I-PARAGRAPH
Ansicht	PAR	Cap	I-PARAGRAPH
nach	PAR	NoCap	I-PARAGRAPH
dargestellt	PAR	NoCap	I-PARAGRAPH
.	DOT	NoCap	B-DOT
Stabilität	PAR	Cap	B-PARAGRAPH
und	PAR	NoCap	I-PARAGRAPH
kluges	PAR	NoCap	I-PARAGRAPH
vorausschauendes	PAR	NoCap	I-PARAGRAPH
Handeln	PAR	Cap	I-PARAGRAPH
,	DOT	NoCap	B-DOT
das	PAR	NoCap	B-PARAGRAPH
ist	PAR	NoCap	I-PARAGRAPH
das	PAR	NoCap	I-PARAGRAPH
,	DOT	NoCap	B-DOT
was	PAR	NoCap	B-PARAGRAPH
Europa	PAR	Cap	I-PARAGRAPH
jetzt	PAR	NoCap	I-PARAGRAPH
braucht	PAR	NoCap	I-PARAGRAPH
.	DOT	NoCap	B-DOT
Denn	PAR	Cap	B-PARAGRAPH
–	PAR	NoCap	I-PARAGRAPH
das	PAR	NoCap	I-PARAGRAPH
kann	PAR	NoCap	I-PARAGRAPH
ich	PAR	NoCap	I-PARAGRAPH
hier	PAR	NoCap	I-PARAGRAPH
im	PAR	NoCap	I-PARAGRAPH
Haus	PAR	Cap	I-PARAGRAPH
wirklich	PAR	NoCap	I-PARAGRAPH
nur	PAR	NoCap	I-PARAGRAPH
unterstreichen	PAR	NoCap	I-PARAGRAPH
das	PAR	NoCap	I-PARAGRAPH
Projekt	PAR	Cap	I-PARAGRAPH
Europa	PAR	Cap	I-PARAGRAPH
steht	PAR	NoCap	I-PARAGRAPH
unter	PAR	NoCap	I-PARAGRAPH
Druck	PAR	Cap	I-PARAGRAPH
.	DOT	NoCap	B-DOT
Die	PAR	Cap	B-PARAGRAPH
antieuropäischen	PAR	NoCap	I-PARAGRAPH
Populisten	PAR	Cap	I-PARAGRAPH
sind	PAR	NoCap	I-PARAGRAPH
Monate	TIME	Cap	B-TIME
vor	PAR	NoCap	B-PARAGRAPH
der	PAR	NoCap	I-PARAGRAPH
Europawahl	PAR	Cap	I-PARAGRAPH
in	PAR	NoCap	I-PARAGRAPH
einer	PAR	NoCap	I-PARAGRAPH
Situation	PAR	Cap	I-PARAGRAPH
,	DOT	NoCap	B-DOT
dass	PAR	NoCap	B-PARAGRAPH
sie	PAR	NoCap	I-PARAGRAPH
nicht	PAR	NoCap	I-PARAGRAPH
nur	PAR	NoCap	I-PARAGRAPH
wie	PAR	NoCap	I-PARAGRAPH
sonst	PAR	NoCap	I-PARAGRAPH
oft	PAR	NoCap	I-PARAGRAPH
die	PAR	NoCap	I-PARAGRAPH
Stimmung	PAR	Cap	I-PARAGRAPH
in	PAR	NoCap	I-PARAGRAPH
vielen	PAR	NoCap	I-PARAGRAPH
Nationalstaaten	PAR	Cap	I-PARAGRAPH
beeinflussen	PAR	NoCap	I-PARAGRAPH
,	DOT	NoCap	B-DOT
sonderndass	PAR	NoCap	B-PARAGRAPH
sie	PAR	NoCap	I-PARAGRAPH
–	PAR	NoCap	I-PARAGRAPH
diese	PAR	NoCap	I-PARAGRAPH
Gefahr	PAR	Cap	I-PARAGRAPH
droht	PAR	NoCap	I-PARAGRAPH
,	DOT	NoCap	B-DOT
ich	PAR	NoCap	B-PARAGRAPH
will	PAR	NoCap	I-PARAGRAPH
sie	PAR	NoCap	I-PARAGRAPH
nicht	PAR	NoCap	I-PARAGRAPH
herbeireden	PAR	NoCap	I-PARAGRAPH
–	PAR	NoCap	I-PARAGRAPH
auch	PAR	NoCap	I-PARAGRAPH
in	PAR	NoCap	I-PARAGRAPH
eine	PAR	NoCap	I-PARAGRAPH
relevante	PAR	NoCap	I-PARAGRAPH
Position	PAR	Cap	I-PARAGRAPH
kommen	PAR	NoCap	I-PARAGRAPH
,	DOT	NoCap	B-DOT
in	PAR	NoCap	B-PARAGRAPH
der	PAR	NoCap	I-PARAGRAPH
sienach	PAR	NoCap	I-PARAGRAPH
der	PAR	NoCap	I-PARAGRAPH
Europawahl	PAR	Cap	I-PARAGRAPH
entschiedenes	PAR	NoCap	I-PARAGRAPH
proeuropäisches	PAR	NoCap	I-PARAGRAPH
Handeln	PAR	Cap	I-PARAGRAPH
im	PAR	NoCap	I-PARAGRAPH
europäischen	PAR	NoCap	I-PARAGRAPH
Interesse	PAR	Cap	I-PARAGRAPH
zumindest	PAR	NoCap	I-PARAGRAPH
verlangsamen	PAR	NoCap	I-PARAGRAPH
,	DOT	NoCap	B-DOT
wenn	PAR	NoCap	B-PARAGRAPH
nicht	PAR	NoCap	I-PARAGRAPH
sogar	PAR	NoCap	I-PARAGRAPH
lähmen	PAR	NoCap	I-PARAGRAPH
können	PAR	NoCap	I-PARAGRAPH
.	DOT	NoCap	B-DOT
Deswegen	PAR	Cap	B-PARAGRAPH
ist	PAR	NoCap	I-PARAGRAPH
eswichtig	PAR	NoCap	I-PARAGRAPH
,	DOT	NoCap	B-DOT
dass	PAR	NoCap	B-PARAGRAPH
wir	PAR	NoCap	I-PARAGRAPH
uns	PAR	NoCap	I-PARAGRAPH
im	PAR	NoCap	I-PARAGRAPH
Rahmen	PAR	Cap	I-PARAGRAPH
des	PAR	NoCap	I-PARAGRAPH
europäischen	PAR	NoCap	I-PARAGRAPH
Verfassungsbogens	PAR	Cap	I-PARAGRAPH
dagegen	PAR	NoCap	I-PARAGRAPH
positionieren	PAR	NoCap	I-PARAGRAPH
.	DOT	NoCap	B-DOT

(	BBRACKET	NoCap	B-BBRACKET
Beifall	MOOD	Cap	B-MOOD
beim	PAR	NoCap	B-PARAGRAPH
BÜNDNIS	FRACT	Cap	B-FRACTION
90/DIE	FRACT	Cap	I-FRACTION
GRÜNEN	FRACT	Cap	I-FRACTION
)	EBRACKET	NoCap	B-EBRACKET

Ich	PAR	Cap	B-PARAGRAPH
möchte	PAR	NoCap	I-PARAGRAPH
Ihnen	PAR	Cap	I-PARAGRAPH
sagen	PAR	NoCap	I-PARAGRAPH
:	COL	NoCap	B-COLON
Ich	PAR	Cap	B-PARAGRAPH
glaube	PAR	NoCap	I-PARAGRAPH
,	DOT	NoCap	B-DOT
dass	PAR	NoCap	B-PARAGRAPH
eine	PAR	NoCap	I-PARAGRAPH
Veränderung	PAR	Cap	I-PARAGRAPH
der	PAR	NoCap	I-PARAGRAPH
Europapolitik	PAR	Cap	I-PARAGRAPH
dieser	PAR	NoCap	I-PARAGRAPH
Bundesregierung	PAR	Cap	I-PARAGRAPH
notwendig	PAR	NoCap	I-PARAGRAPH
ist	PAR	NoCap	I-PARAGRAPH
.	DOT	NoCap	B-DOT
Ich	PAR	Cap	B-PARAGRAPH
glaube	PAR	NoCap	I-PARAGRAPH
,	DOT	NoCap	B-DOT
das	PAR	NoCap	B-PARAGRAPH
Argument	PAR	Cap	I-PARAGRAPH
der	PAR	NoCap	I-PARAGRAPH
Alternativlosigkeit	PAR	Cap	I-PARAGRAPH
,	DOT	NoCap	B-DOT
diese	PAR	NoCap	B-PARAGRAPH
Begründung	PAR	Cap	I-PARAGRAPH
der	PAR	NoCap	I-PARAGRAPH
Europapolitik	PAR	Cap	I-PARAGRAPH
der	PAR	NoCap	I-PARAGRAPH
altenund	PAR	NoCap	I-PARAGRAPH
meiner	PAR	NoCap	I-PARAGRAPH
Ansicht	PAR	Cap	I-PARAGRAPH
nach	PAR	NoCap	I-PARAGRAPH
leider	PAR	NoCap	I-PARAGRAPH
auch	PAR	NoCap	I-PARAGRAPH
der	PAR	NoCap	I-PARAGRAPH
neuen	PAR	NoCap	I-PARAGRAPH
Bundesregierung	PAR	Cap	I-PARAGRAPH
,	DOT	NoCap	B-DOT
treibt	PAR	NoCap	B-PARAGRAPH
die	PAR	NoCap	I-PARAGRAPH
Menschen	PAR	Cap	I-PARAGRAPH
